Ad Name,Impressions,Spend ($),Purchases,CPA ($),ROAS,Frequency,Ad Set,Status,Headline,Body,Destination Link,Preview Link
Summer Sale Banner,250000,3500.00,175,20.00,4.25,2.8,Summer 2024 Campaign,Active,Summer Sale - Up to 50% Off!,Shop our biggest summer sale. Limited time only. Free shipping on orders over $50.,https://example.com/summer-sale,https://www.facebook.com/ads/archive/render_ad/?id=123456789
Product Launch Video,180000,2800.00,140,20.00,3.80,2.2,Product Launch,Active,Introducing the New XR Pro,Experience innovation like never before. Pre-order now and get 20% off.,https://example.com/xr-pro,https://www.facebook.com/ads/archive/render_ad/?id=234567890
Retargeting Carousel,95000,1500.00,85,17.65,4.50,3.5,Retargeting Warm,Active,Still thinking about it?,Complete your purchase today and enjoy exclusive savings.,https://example.com/cart,https://www.facebook.com/ads/archive/render_ad/?id=345678901
Brand Awareness Static,420000,5000.00,120,41.67,1.80,1.5,Brand Building,Active,Discover Our Story,We've been crafting quality products since 1985. Learn what makes us different.,,
Holiday Special Offer,320000,4200.00,210,20.00,5.20,2.1,Holiday 2024,Paused,Holiday Deals Are Here!,"Don't miss out on our biggest holiday sale. Save up to 60% on select items.",https://example.com/holiday,https://www.facebook.com/ads/archive/render_ad/?id=456789012
Lookalike Audience Test,75000,1200.00,45,26.67,2.90,1.8,Prospecting LAL,Active,You'll Love This,Thousands of customers trust us. See why you should too.,https://example.com/shop,
UGC Testimonial Ad,140000,1800.00,95,18.95,3.95,2.4,Social Proof,Active,Real Reviews from Real Customers,"I can't believe how great this product is! - Sarah M.",https://example.com/reviews,https://www.facebook.com/ads/archive/render_ad/?id=567890123
Flash Sale Countdown,280000,3800.00,190,20.00,4.10,3.2,Flash Sales,Completed,24 Hours Only!,Flash sale ends tonight. Don't miss your chance to save big.,https://example.com/flash-sale,https://www.facebook.com/ads/archive/render_ad/?id=678901234
New Arrivals Showcase,110000,1600.00,70,22.86,3.20,2.0,New Products,Active,Fresh Styles Just Dropped,Be the first to shop our newest collection. Limited quantities available.,https://example.com/new-arrivals,https://www.facebook.com/ads/archive/render_ad/?id=789012345
Abandoned Cart Reminder,65000,950.00,55,17.27,4.80,4.1,Cart Recovery,Active,Forgot Something?,Your items are waiting! Complete your order now before they sell out.,https://example.com/checkout,https://www.facebook.com/ads/archive/render_ad/?id=890123456
Seasonal Collection,190000,2400.00,100,24.00,3.10,2.3,Seasonal Q4,Paused,Fall Collection Now Available,Embrace the season with our cozy new styles. Shop the collection today.,https://example.com/fall,
Influencer Collab,220000,3200.00,130,24.62,3.45,1.9,Influencer Marketing,Active,As Seen On @StyleInfluencer,Get the look everyone's talking about. Shop the exclusive collab now.,https://example.com/collab,https://www.facebook.com/ads/archive/render_ad/?id=901234567
Mobile App Install,380000,4500.00,85,52.94,1.50,1.2,App Installs,Active,Download Our App,Shop smarter with our app. Get exclusive mobile-only deals.,https://example.com/app,https://www.facebook.com/ads/archive/render_ad/?id=012345678
Email Subscriber Offer,45000,600.00,40,15.00,5.50,2.8,Email List,Active,VIP Access Awaits,Join our email list and unlock 25% off your first order.,https://example.com/signup,
Weekend Flash Deal,160000,2100.00,115,18.26,4.00,2.6,Weekend Promos,Completed,Weekend Special,This weekend only: Buy 2 get 1 free on all accessories.,https://example.com/weekend,https://www.facebook.com/ads/archive/render_ad/?id=112233445
